OrderiD,Item_Id,CustomerCode,CountryName,customer_country,QtyRequired,TotalArea,Amount,ITEM_NAME,QualityName,DesignName,ColorName,ShapeName
1550,1140,M-1,USA,M-1USA,3,108,1474.2,DOUBLE BACK,D.B. LEFA VISCOSE,PLAIN,SKY,REC
1550,3316,M-1,USA,M-1USA,3,140,1323,HANDWOVEN,SHAGGY 30C MS+30C HS,NOURA PILE [MOROCCAN] ,TAUPE,REC
1550,11524,M-1,USA,M-1USA,2,180,1296,KNOTTED,KNOTTED 3/25 60C PET+NYLON,OD DOUBLE DIAMOND,SILVER/FOG,REC
1550,11532,M-1,USA,M-1USA,2,180,1296,KNOTTED,KNOTTED 3/25 60C PET+NYLON,OD DOUBLE DIAMOND,IVORY/FOG,REC
1550,1450,M-1,USA,M-1USA,2,180,1152,HANDWOVEN,SHAGGY 00C FELTED V/V,TEXTURE LOOP,GRAPHITE,REC
1550,1210,M-1,USA,M-1USA,3,108,1053,DOUBLE BACK,D.B. 60C 2PLY+LEFA VISCOSE,HOMER,AZURE/CREAM,REC
1550,11530,M-1,USA,M-1USA,175,1.5,945,KNOTTED,KNOTTED 3/25 60C PET+NYLON,OD DOUBLE DIAMOND,SILVER/FOG,REC
1550,11538,M-1,USA,M-1USA,175,1.5,945,KNOTTED,KNOTTED 3/25 60C PET+NYLON,OD DOUBLE DIAMOND,IVORY/FOG,REC
1550,1507,M-1,USA,M-1USA,2,108,918,HANDWOVEN,SHAGGY 00C FELTED V/V,CHUNKY BRAID,TAUPE,REC
1550,1443,M-1,USA,M-1USA,2,140,896,HANDWOVEN,SHAGGY 00C FELTED V/V,TEXTURE LOOP,GREY,REC
1550,2478,M-1,USA,M-1USA,1,180,819,DOUBLE BACK,D.B. LEFA VISCOSE,PLAIN,SKY,REC
1550,3397,M-1,USA,M-1USA,6,108,712.8,DURRY,FLATWOVEN PET YARN,HEATHERED,BLUE/18-19,REC
1550,1219,M-1,USA,M-1USA,4,54,702,DOUBLE BACK,D.B. 60C 2PLY+LEFA VISCOSE,HOMER,PLAT/CREAM,REC
1550,4081,M-1,USA,M-1USA,1,180,702,DOUBLE BACK,D.B. LILEN 2/8+VISCOSE 5PLY,PLAIN,CREAM,REC
1550,1413,M-1,USA,M-1USA,2,80,656,KNOTTED,KNOTTED 3/25 30C HS,MOROCCAN ZIGZAG,SILVER,REC
1550,1141,M-1,USA,M-1USA,1,140,637,DOUBLE BACK,D.B. LEFA VISCOSE,PLAIN,SKY,REC
1550,1503,M-1,USA,M-1USA,1,140,595,HANDWOVEN,SHAGGY 00C FELTED V/V,CHUNKY BRAID,TAUPE,REC
1550,3399,M-1,USA,M-1USA,3,180,594,DURRY,FLATWOVEN PET YARN+PVC,HEATHERED,FOG/9-19,REC
1550,1227,M-1,USA,M-1USA,1,180,585,DOUBLE BACK,D.B. 60C 2PLY+LEFA VISCOSE,HOMER,MOCHA/BLACK,REC
1550,1780,M-1,USA,M-1USA,4,35,546,DOUBLE BACK,D.B. LILEN 2/8+VISCOSE 5PLY,PLAIN,GREY,REC
1550,2471,M-1,USA,M-1USA,1,140,546,DOUBLE BACK,D.B. LILEN 2/8+VISCOSE 5PLY,PLAIN,PRAIR,REC
1550,100,M-1,USA,M-1USA,2,80,520,DOUBLE BACK,D.B. 60C 2PLY+LEFA VISCOSE,HOMER,PLAT/CREAM,REC
1550,11526,M-1,USA,M-1USA,4,35,504,KNOTTED,KNOTTED 3/25 60C PET+NYLON,OD DOUBLE DIAMOND,SILVER/FOG,REC
1550,11534,M-1,USA,M-1USA,4,35,504,KNOTTED,KNOTTED 3/25 60C PET+NYLON,OD DOUBLE DIAMOND,IVORY/FOG,REC
